SIEC Code,Country Code,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Country,SIEC
TOTAL,HR,6739.713,7174.591,7125.137,7186.64,6893.31,6831.937,6473.239,6823.807,6897.016,7206.623,7479.911,7429.787,7645.385,7558.796,7504.99,7509.282,7274.237,Croatia,Total
TOTAL,HU,18535.788,19144.366,19074.938,19057.018,18392.816,18077.322,16916.043,17206.697,17091.664,18155.265,18141.794,17700.619,18099.91,18114.423,19109.79,19373.255,18206.397,Hungary,Total
TOTAL,IE,11461.471,12631.781,12641.701,12088.738,11990.345,11546.167,11113.962,11072.689,10939.983,11236.472,12115.902,12007.723,13447.053,13418.387,13345.29,12812.12,12103.812,Ireland,Total
TOTAL,IS,3114.795,3495.53,3665.932,3466.409,3344.142,3320.49,3138.105,3033.66,2941.051,2894.291,2864.298,2878.927,2881.283,2549.796,2277.334,2104.506,2087.227,Iceland,Total
TOTAL,IT,107572.432,120329.757,121405.797,120435.147,121052.608,121456.039,118520.88,123869.296,127052.244,128211.84,133319.879,130809.68,138777.874,138963.558,139674.973,141083.892,137445.063,Italy,Total
TOTAL,LT,5543.699,5788.807,5809.622,5569.627,5322.102,5075.724,5091.059,5009.697,5141.6,5026.173,5069.107,4984.912,5475.872,5577.074,5313.757,5081.769,4856.63,Lithuania,Total
TOTAL,LU,3853.764,4436.23,4390.437,4219.929,4078.605,4029.821,4040.856,4166.525,4211.788,4334.018,4363.982,4115.136,4420.462,4378.197,4447.368,4514.912,4414.416,Luxembourg,Total
TOTAL,LV,4006.333,4264.436,4371.85,4215.486,4018.601,3972.584,4073.778,4051.349,4222.04,4064.667,4342.355,4234.521,4350.062,4571.848,4430.679,4272.315,4171.893,Latvia,Total
TOTAL,MT,575.461,728.114,685.649,648.24,612.503,603.392,571.025,555.317,538.803,520.437,527.426,492.515,540.628,518.592,501.366,497.191,480.921,Malta,Total
TOTAL,NL,46435.953,50485.133,51435.42,51132.673,50725.412,49625.371,48610.504,52898.724,52788.266,52685.225,56354.599,52690.809,54908.236,54081.126,54889.22,55202.459,55726.233,Netherlands,Total
TOTAL,NO,19812.222,20695.158,20770.3,20646.615,20506.477,20052.741,19858.971,20286.885,20332.134,19905.91,20722.559,19238.301,20044.13,19982.316,19647.24,19642.787,19615.082,Norway,Total
TOTAL,PL,74068.878,76625.837,78099.729,74151.176,69701.909,65374.057,64311.235,66022.621,67292.736,67462.597,69191.678,64361.712,65389.163,64687.499,64267.469,61577.381,61161.85,Poland,Total
TOTAL,PT,16099.871,18303.221,18064.242,17747.694,17309.585,17123.248,16885.82,16395.399,16532.338,17796.115,18599.146,18661.917,18894.074,19315.757,19124.547,19402.746,19310.338,Portugal,Total
TOTAL,RO,24760.735,25117.042,24964.119,24685.379,23785.025,23436.759,23261.116,23351.934,24401.33,24415.744,24046.055,23706.927,26165.81,25802.897,26492.234,26181.581,26435.648,Romania,Total
TOTAL,SE,34034.629,34885.09,35263.388,35454.714,35285.267,34476.235,33867.851,34876.803,35615.889,35325.049,36680.785,33944.994,35201.131,35676.182,35374.621,35471.054,35965.861,Sweden,Total
TOTAL,SI,4640.485,5088.825,5188.404,5188.941,5115.761,4933.462,4828.283,5027.901,5141.104,5261.47,5285.703,5067.745,5702.204,5344.592,5317.053,5321.827,5126.38,Slovenia,Total
TOTAL,SK,10795.809,11534.259,11342.278,11380.96,10659.208,10363.641,10193.763,10827.363,10692.836,11048.107,11851.284,10878.82,11718.218,11513.208,11685.561,11912.578,11413.838,Slovakia,Total
